tên,ô,view,từ,câu,từ/câu,dài,wpm,chữ nguy hiểm,nguy hiểm /1000 từ,nguy hiểm lần đầu %,khúc có nguy hiểm /10,you,you /1000 từ,we/our,tôi,số liệu,số /1000 từ,tên riêng,từ hiện đại,rào đón,câu dẫn có nhãn,câu hỏi,liên từ đầu câu,câu cụt ≤4 từ,dấu !,nguồn
How Did Ancient Humans Survive the World's Deadliest Predators?,Axen,"1,076,721",1438,146,9.8,7:32,188,34,23.6,10,10,28,19.5,66,1,53,36.9,22,0,8,4,3,18,20,0,2_KHO_BANGHI/Axen/20260428_How_Did_Ancient_Humans_Survive_the_World_s_Deadliest_Predato.txt
Weird Feelings You Get That Your Brain Can't Explain...,Axen,"26,378",950,126,7.5,5:21,177,7,7.4,25,5,90,94.7,2,0,13,13.7,5,3,6,5,4,8,37,0,2_KHO_BANGHI/Axen/20260428_Weird_Feelings_You_Get_That_Your_Brain_Can_t_Explain_.txt
What Did Ancient Humans Do all Day Before Jobs Existed?,Axen,"3,118,225",1566,149,10.5,8:32,181,11,7.0,1,8,41,26.2,18,1,44,28.1,22,0,27,5,5,24,22,0,2_KHO_BANGHI/Axen/20260504_What_Did_Ancient_Humans_Do_all_Day_Before_Jobs_Existed_.txt
How Did Ancient Humans Have Privacy?,Axen,"258,173",956,113,8.5,5:14,182,6,6.3,26,4,39,40.8,14,0,17,17.8,8,0,10,4,4,12,24,0,2_KHO_BANGHI/Axen/20260505_How_Did_Ancient_Humans_Have_Privacy_.txt
Napoleon Did Some Truly Bizarre Things...,Axen,"9,706",1071,116,9.2,5:42,188,2,1.9,31,2,9,8.4,1,0,16,14.9,14,0,10,3,1,5,24,0,2_KHO_BANGHI/Axen/20260527_Napoleon_Did_Some_Truly_Bizarre_Things_.txt
How Did Ancient Humans Survive Deadly Winters?,Axen,"672,788",2231,161,13.9,10:24,213,28,12.6,2,9,28,12.6,31,2,27,12.1,15,4,17,13,2,18,9,0,2_KHO_BANGHI/Axen/20260530_How_Did_Ancient_Humans_Survive_Deadly_Winters_.txt
What Was the World Like in Ancient Human Times?,Axen,"23,840",1255,106,11.8,7:03,177,14,11.2,18,7,14,11.2,8,0,17,13.5,16,3,6,1,3,7,16,0,2_KHO_BANGHI/Axen/20260603_What_Was_the_World_Like_in_Ancient_Human_Times_.txt
Our WORLD is F*cked Up...,Axen,"11,832",1354,88,15.4,6:59,192,4,3.0,10,4,58,42.8,11,3,33,24.4,15,8,3,2,4,9,5,0,2_KHO_BANGHI/Axen/20260605_Our_WORLD_is_F_cked_Up_.txt
Why Does the OCEAN Get Creepier the Deeper You Go?,Axen,"88,002",1567,116,13.5,9:51,156,16,10.2,8,6,16,10.2,7,8,51,32.5,23,1,15,6,0,6,2,0,2_KHO_BANGHI/Axen/20260611_Why_Does_the_OCEAN_Get_Creepier_the_Deeper_You_Go_.txt
What Did Ancient Human Education Look Like?,Axen,"24,542",1554,124,12.5,10:16,149,7,4.5,5,5,6,3.9,12,0,49,31.5,33,0,13,3,3,12,17,0,2_KHO_BANGHI/Axen/20260618_What_Did_Ancient_Human_Education_Look_Like_.txt
Do Animals Live More Freely Than Humans?,Axen,"21,710",1780,142,12.5,9:23,190,8,4.5,30,4,40,22.5,20,5,11,6.2,17,3,10,4,3,13,11,0,2_KHO_BANGHI/Axen/20260626_Do_Animals_Live_More_Freely_Than_Humans_.txt
"How Gross Was the Past, Really?",Axen,"4,252",2360,152,15.5,12:41,185,12,5.1,2,5,46,19.5,8,5,25,10.6,49,3,16,2,0,16,8,0,2_KHO_BANGHI/Axen/20260803_How_Gross_Was_the_Past_Really_.txt
What Did Ancient Humans Do After Dusk?,BeforeCivilization,"3,011",1086,111,9.8,5:45,186,3,2.8,51,3,22,20.3,14,0,36,33.1,7,2,18,6,4,15,22,0,2_KHO_BANGHI/BeforeCivilization/20260501_What_Did_Ancient_Humans_Do_After_Dusk_.txt
What Ancient Humans Found Attractive Might Surprise You,BeforeCivilization,"1,705",1057,90,11.7,6:16,168,2,1.9,13,2,31,29.3,17,2,17,16.1,8,3,15,4,2,10,11,0,2_KHO_BANGHI/BeforeCivilization/20260502_What_Ancient_Humans_Found_Attractive_Might_Surprise_You.txt
Why Ancient Humans Never Got Lost (And You Still Have This Skill),BeforeCivilization,"1,458",1351,150,9.0,8:37,157,6,4.4,9,5,37,27.4,17,0,4,3.0,6,3,12,5,2,31,28,0,2_KHO_BANGHI/BeforeCivilization/20260503_Why_Ancient_Humans_Never_Got_Lost_And_You_Still_Have_This_Sk.txt
Ancient Humans Had To Do This To Keep Babies Alive,BeforeCivilization,"2,025",1457,138,10.6,8:27,173,12,8.2,16,6,21,14.4,6,0,3,2.1,1,0,13,4,10,17,18,0,2_KHO_BANGHI/BeforeCivilization/20260504_Ancient_Humans_Had_To_Do_This_To_Keep_Babies_Alive.txt
How Did Ancient Humans get High & What They Did will Surprise You,BeforeCivilization,"4,992",1306,124,10.5,10:12,127,6,4.6,2,5,14,10.7,2,2,28,21.4,17,2,7,6,7,23,24,0,2_KHO_BANGHI/BeforeCivilization/20260506_How_Did_Ancient_Humans_get_High_What_They_Did_will_Surprise_.txt
Ancient Humans Had No Jobs... So What Did They Do All Day?,BeforeCivilization,"3,987",1356,143,9.5,7:48,172,13,9.6,4,8,49,36.1,22,1,15,11.1,2,1,17,3,8,25,32,0,2_KHO_BANGHI/BeforeCivilization/20260508_Ancient_Humans_Had_No_Jobs_So_What_Did_They_Do_All_Day_.txt
What Did Ancient Humans Eat That Kept Them From Getting Fat?,BeforeCivilization,"13,792",1556,146,10.7,9:12,168,8,5.1,16,5,28,18.0,19,1,32,20.6,26,2,10,7,4,27,30,0,2_KHO_BANGHI/BeforeCivilization/20260509_What_Did_Ancient_Humans_Eat_That_Kept_Them_From_Getting_Fat_.txt
Why Did Ancient Humans Live 280 Feet Underground? ( SHOCKING!!),BeforeCivilization,"49,308",1729,173,10.0,11:13,154,17,9.8,17,9,9,5.2,9,0,15,8.7,18,0,23,8,10,34,20,0,2_KHO_BANGHI/BeforeCivilization/20260510_Why_Did_Ancient_Humans_Live_280_Feet_Underground_SHOCKING_.txt
Ancient Humans Slept Beside THIS Every Night,BeforeCivilization,"2,594",1217,125,9.7,7:52,155,40,32.9,1,10,25,20.5,10,0,11,9.0,3,1,21,5,3,26,17,0,2_KHO_BANGHI/BeforeCivilization/20260512_Ancient_Humans_Slept_Beside_THIS_Every_Night.txt
What Did Ancient Humans Do When Everyone Was Watching?,BeforeCivilization,"2,055",1435,138,10.4,10:32,136,11,7.7,6,6,10,7.0,10,0,16,11.1,12,0,25,7,3,16,13,0,2_KHO_BANGHI/BeforeCivilization/20260513_What_Did_Ancient_Humans_Do_When_Everyone_Was_Watching_.txt
What Did Ancient Humans Do When Food Vanished?,BeforeCivilization,"4,366",1174,138,8.5,7:15,161,27,23.0,10,10,11,9.4,6,0,13,11.1,15,1,27,3,3,32,25,0,2_KHO_BANGHI/BeforeCivilization/20260516_What_Did_Ancient_Humans_Do_When_Food_Vanished_.txt
What Made Ancient Humans So Deadly?,BeforeCivilization,"2,287",1307,125,10.5,7:28,173,37,28.3,4,10,29,22.2,14,1,30,23.0,17,2,8,3,1,10,27,0,2_KHO_BANGHI/BeforeCivilization/20260517_What_Made_Ancient_Humans_So_Deadly_.txt
Ancient Humans Were Drunk Every Single Day,BeforeCivilization,"113,666",1342,131,10.2,8:52,151,15,11.2,19,6,10,7.5,5,0,11,8.2,10,0,26,4,5,34,19,0,2_KHO_BANGHI/BeforeCivilization/20260518_Ancient_Humans_Were_Drunk_Every_Single_Day.txt
The Darkest Things Ancient Humans Did To Survive The Cold,BeforeCivilization,"490,973",1217,122,10.0,7:48,156,47,38.6,4,10,24,19.7,2,0,8,6.6,9,0,16,3,1,27,14,0,2_KHO_BANGHI/BeforeCivilization/20260519_The_Darkest_Things_Ancient_Humans_Did_To_Survive_The_Cold.txt
This One Mistakes Costed Other Species Their Survival While Ancient Hu,BeforeCivilization,"7,633",1232,117,10.5,7:42,160,25,20.3,9,10,4,3.2,20,0,18,14.6,19,0,24,9,7,31,13,0,2_KHO_BANGHI/BeforeCivilization/20260521_This_One_Mistakes_Costed_Other_Species_Their_Survival_While_.txt
Why Ancient Humans Started Hiding Their Bodies,BeforeCivilization,"10,967",1389,125,11.1,9:10,151,33,23.8,1,10,14,10.1,5,0,11,7.9,9,0,32,4,5,36,14,0,2_KHO_BANGHI/BeforeCivilization/20260522_Why_Ancient_Humans_Started_Hiding_Their_Bodies.txt
Smartest Ways Ancient Humans Used to Kill Animals 10x Their Size,BeforeCivilization,"12,195",1543,138,11.2,10:14,151,47,30.5,3,10,12,7.8,14,0,12,7.8,15,1,18,4,3,26,9,0,2_KHO_BANGHI/BeforeCivilization/20260523_Smartest_Ways_Ancient_Humans_Used_to_Kill_Animals_10x_Their_.txt
"Ancient Humans Had No TV, No Phones, No Internet... So What Did They D",BeforeCivilization,"2,584",1342,114,11.8,9:02,149,17,12.7,5,8,24,17.9,5,0,9,6.7,11,0,23,5,3,24,7,0,2_KHO_BANGHI/BeforeCivilization/20260525_Ancient_Humans_Had_No_TV_No_Phones_No_Internet_So_What_Did_T.txt
How Did Ancient Humans Perform surgeries?,BeforeCivilization,"3,132",1352,112,12.1,8:33,158,18,13.3,12,7,8,5.9,2,0,4,3.0,4,1,22,3,7,26,9,0,2_KHO_BANGHI/BeforeCivilization/20260527_How_Did_Ancient_Humans_Perform_surgeries_.txt
The Desperate Strategy of Ancient Humans That Saved Them From Extincti,BeforeCivilization,"5,816",1434,134,10.7,8:46,164,61,42.5,1,10,30,20.9,4,0,11,7.7,8,0,9,4,2,20,14,0,2_KHO_BANGHI/BeforeCivilization/20260529_The_Desperate_Strategy_of_Ancient_Humans_That_Saved_Them_Fro.txt
The Dark Secret Ancient Humans Took To The Grave,BeforeCivilization,"1,508",1772,165,10.7,10:55,162,7,4.0,13,3,22,12.4,15,1,7,4.0,3,0,40,5,18,51,20,0,2_KHO_BANGHI/BeforeCivilization/20260531_The_Dark_Secret_Ancient_Humans_Took_To_The_Grave.txt
What Did Ancient Humans Eat When the Food Ran Out?,BeforeCivilization,"1,612",1547,139,11.1,9:54,157,46,29.7,8,10,18,11.6,5,2,17,11.0,8,3,32,6,1,38,18,0,2_KHO_BANGHI/BeforeCivilization/20260602_What_Did_Ancient_Humans_Eat_When_the_Food_Ran_Out_.txt
How Did Ancient Humans Deal With Hygiene Before?,BeforeCivilization,"8,250",1436,140,10.3,8:41,166,27,18.8,3,10,65,45.3,17,0,6,4.2,0,0,10,1,8,16,22,0,2_KHO_BANGHI/BeforeCivilization/20260603_How_Did_Ancient_Humans_Deal_With_Hygiene_Before_.txt
Why Did Ancient Humans Fear This More Than Death?,BeforeCivilization,"2,539",1829,183,10.0,12:27,147,33,18.0,4,8,27,14.8,22,0,17,9.3,7,5,28,5,10,34,28,0,2_KHO_BANGHI/BeforeCivilization/20260605_Why_Did_Ancient_Humans_Fear_This_More_Than_Death_.txt
How Ancient Humans Actually Kept Their Children Alive Against Odds,BeforeCivilization,"7,070",2748,230,11.9,17:15,159,40,14.6,1,10,79,28.7,25,4,67,24.4,5,1,22,9,10,51,31,0,2_KHO_BANGHI/BeforeCivilization/20260607_How_Ancient_Humans_Actually_Kept_Their_Children_Alive_Agains.txt
Why Did Ancient Humans Split Into Different Colors,BeforeCivilization,"2,922",1344,142,9.5,8:54,151,17,12.6,9,7,25,18.6,10,2,15,11.2,6,0,7,8,6,29,15,0,2_KHO_BANGHI/BeforeCivilization/20260609_Why_Did_Ancient_Humans_Split_Into_Different_Colors.txt
The Darkest Things Ancient Humans Did To Survive,BeforeCivilization,"1,266",2305,210,11.0,14:08,163,47,20.4,1,10,55,23.9,23,3,61,26.5,22,3,8,10,6,33,34,0,2_KHO_BANGHI/BeforeCivilization/20260611_The_Darkest_Things_Ancient_Humans_Did_To_Survive.txt
How Did Ancient Humans Face A Terrifying Death In The Dark?,BeforeCivilization,"3,216",1258,148,8.5,9:15,136,40,31.8,2,10,16,12.7,9,2,7,5.6,0,0,34,0,16,28,39,0,2_KHO_BANGHI/BeforeCivilization/20260612_How_Did_Ancient_Humans_Face_A_Terrifying_Death_In_The_Dark_.txt
The CRAZIEST  Survival Methods Used by Ancient Humans During the Ice A,BeforeCivilization,"131,647",4726,340,13.9,30:11,156,48,10.2,2,9,66,14.0,27,3,71,15.0,19,0,27,13,10,90,32,0,2_KHO_BANGHI/BeforeCivilization/20260613_The_CRAZIEST_Survival_Methods_Used_by_Ancient_Humans_During_.txt
Why Ancient Humans Would’ve Died Without Animals (Shocking Truth!!),BeforeCivilization,"2,457",3188,318,10.0,18:04,177,58,18.2,2,10,69,21.6,79,15,36,11.3,19,1,26,17,18,63,50,0,2_KHO_BANGHI/BeforeCivilization/20260615_Why_Ancient_Humans_Would_ve_Died_Without_Animals_Shocking_Tr.txt
How Did Humans Actually Sleep In The Ice Age Without Freezing To Death,BeforeCivilization,"22,675",4133,434,9.5,25:39,161,86,20.8,4,10,72,17.4,43,0,42,10.2,11,1,20,12,13,83,56,0,2_KHO_BANGHI/BeforeCivilization/20260617_How_Did_Humans_Actually_Sleep_In_The_Ice_Age_Without_Freezin.txt
How Did ancient humans ACTUALLY Survive –40°C Winters Without Heaters?,BeforeCivilization,"13,796",3646,399,9.1,24:01,152,77,21.1,1,10,121,33.2,37,8,59,16.2,16,2,18,3,13,53,92,0,2_KHO_BANGHI/BeforeCivilization/20260618_How_Did_ancient_humans_ACTUALLY_Survive_40_C_Winters_Without.txt
How Did Humans Actually Eat During the Ice Age at -40°C?,BeforeCivilization,"11,811",4160,335,12.4,23:48,175,73,17.5,4,10,127,30.5,22,7,35,8.4,10,9,20,19,20,71,42,0,2_KHO_BANGHI/BeforeCivilization/20260619_How_Did_Humans_Actually_Eat_During_the_Ice_Age_at_40_C_.txt
How Did Ancient Humans Actually Find Water During the Ice Age?,BeforeCivilization,"16,054",5056,472,10.7,28:49,175,108,21.4,1,10,136,26.9,40,10,49,9.7,14,1,37,27,17,83,46,0,2_KHO_BANGHI/BeforeCivilization/20260621_How_Did_Ancient_Humans_Actually_Find_Water_During_the_Ice_Ag.txt
Why Didn't Ice Age Babies Freeze to Death?,BeforeCivilization,"3,104",3390,312,10.9,19:24,175,57,16.8,3,10,20,5.9,38,2,48,14.2,10,0,13,7,3,50,29,0,2_KHO_BANGHI/BeforeCivilization/20260622_Why_Didn_t_Ice_Age_Babies_Freeze_to_Death_.txt
SHOCKING Reason Why Predators Feared Ancient Humans Even in Their Slee,BeforeCivilization,"43,138",4769,434,11.0,26:21,182,153,32.1,0,10,60,12.6,87,7,66,13.8,4,0,34,17,8,72,60,0,2_KHO_BANGHI/BeforeCivilization/20260623_SHOCKING_Reason_Why_Predators_Feared_Ancient_Humans_Even_in_.txt
Why Ancient Humans Slept Inside Dead Animals,BeforeCivilization,"7,406",4375,436,10.0,24:43,177,154,35.2,1,10,150,34.3,52,2,54,12.3,12,1,29,18,12,85,71,0,2_KHO_BANGHI/BeforeCivilization/20260624_Why_Ancient_Humans_Slept_Inside_Dead_Animals.txt
Ancient Humans Had Perfect Focus — Here's Exactly What Destroyed Yours,BeforeCivilization,"2,820",4212,373,11.3,24:13,174,28,6.6,7,8,266,63.2,27,6,46,10.9,5,9,30,29,7,67,51,0,2_KHO_BANGHI/BeforeCivilization/20260625_Ancient_Humans_Had_Perfect_Focus_Here_s_Exactly_What_Destroy.txt
A Day In The Life Of An Ice Age Human,BeforeCivilization,"29,451",4940,417,11.8,29:38,167,82,16.6,2,10,266,53.8,4,5,64,13.0,5,4,31,20,7,66,62,0,2_KHO_BANGHI/BeforeCivilization/20260627_A_Day_In_The_Life_Of_An_Ice_Age_Human.txt
Why Ancient Humans Couldn't Survive Without Grandparents,BeforeCivilization,"57,505",4085,345,11.8,24:59,163,63,15.4,1,10,66,16.2,61,7,50,12.2,17,3,36,11,13,74,42,0,2_KHO_BANGHI/BeforeCivilization/20260701_Why_Ancient_Humans_Couldn_t_Survive_Without_Grandparents.txt
What Did Humans Do During Ice Age Summers?,BeforeCivilization,"41,800",4688,434,10.8,26:30,177,43,9.2,1,10,127,27.1,11,7,53,11.3,9,2,31,17,12,84,68,0,2_KHO_BANGHI/BeforeCivilization/20260703_What_Did_Humans_Do_During_Ice_Age_Summers_.txt
Why Did Ancient Humans Walk Straight Into the Ice?,BeforeCivilization,"9,950",4670,404,11.6,26:37,176,66,14.1,4,10,123,26.3,49,7,53,11.3,20,0,28,15,15,64,42,0,2_KHO_BANGHI/BeforeCivilization/20260705_Why_Did_Ancient_Humans_Walk_Straight_Into_the_Ice_.txt
How Did Ancient Humans Keep Fire Alive in Endless Rain?,BeforeCivilization,"71,951",4955,419,11.8,30:18,164,73,14.7,1,10,91,18.4,13,2,63,12.7,19,2,25,20,12,74,65,0,2_KHO_BANGHI/BeforeCivilization/20260706_How_Did_Ancient_Humans_Keep_Fire_Alive_in_Endless_Rain_.txt
How Did Ancient Humans Hunt During Weeks of Rain?,BeforeCivilization,"25,117",4799,662,7.2,26:55,178,79,16.5,1,10,251,52.3,12,3,67,14.0,3,0,22,20,17,120,150,0,2_KHO_BANGHI/BeforeCivilization/20260708_How_Did_Ancient_Humans_Hunt_During_Weeks_of_Rain_.txt
What Happened When a Prehistoric Child Made Their First kill?,BeforeCivilization,"5,872",5233,389,13.5,29:54,175,62,11.8,10,10,225,43.0,20,5,55,10.5,2,0,38,24,17,92,37,0,2_KHO_BANGHI/BeforeCivilization/20260710_What_Happened_When_a_Prehistoric_Child_Made_Their_First_kill.txt
What Happened If Ancient Humans Lost Their Tribe?,BeforeCivilization,"12,582",5080,467,10.9,31:20,162,76,15.0,1,10,266,52.4,28,8,64,12.6,4,0,30,21,12,97,69,0,2_KHO_BANGHI/BeforeCivilization/20260711_What_Happened_If_Ancient_Humans_Lost_Their_Tribe_.txt
The Deadliest Mistake Ice Age Humans Ever Made,BeforeCivilization,"16,129",5064,393,12.9,32:49,154,58,11.5,1,10,68,13.4,20,2,62,12.2,58,1,39,22,11,77,40,0,2_KHO_BANGHI/BeforeCivilization/20260713_The_Deadliest_Mistake_Ice_Age_Humans_Ever_Made.txt
What Did Ancient Humans Do When Their Cave Flooded?,BeforeCivilization,"4,048",4466,521,8.6,31:27,142,39,8.7,3,10,119,26.6,41,0,57,12.8,27,3,50,21,21,65,109,0,2_KHO_BANGHI/BeforeCivilization/20260714_What_Did_Ancient_Humans_Do_When_Their_Cave_Flooded_.txt
What Did Ancient Humans Do When a Predator Followed Them Home?,BeforeCivilization,"6,392",4188,322,13.0,25:27,164,51,12.2,3,10,98,23.4,84,0,87,20.8,47,1,37,28,12,66,41,0,2_KHO_BANGHI/BeforeCivilization/20260715_What_Did_Ancient_Humans_Do_When_a_Predator_Followed_Them_Hom.txt
The Worst Place to Spend One Night During the Ice Age,BeforeCivilization,"8,942",4972,493,10.1,33:09,149,44,8.8,0,10,171,34.4,21,10,100,20.1,55,2,35,46,4,89,144,0,2_KHO_BANGHI/BeforeCivilization/20260717_The_Worst_Place_to_Spend_One_Night_During_the_Ice_Age.txt
What Happened After Ancient Humans Killed a Mammoth?,BeforeCivilization,"34,253",4752,578,8.2,30:48,154,40,8.4,6,10,41,8.6,12,0,62,13.0,6,1,35,3,29,52,121,0,2_KHO_BANGHI/BeforeCivilization/20260719_What_Happened_After_Ancient_Humans_Killed_a_Mammoth_.txt
The Largest Animals Hunted by Ancient Humans,BeforeCivilization,"3,138",4628,335,13.8,30:56,148,49,10.6,1,10,45,9.7,65,11,102,22.0,66,5,35,15,10,71,41,0,2_KHO_BANGHI/BeforeCivilization/20260722_The_Largest_Animals_Hunted_by_Ancient_Humans.txt
How Did Ancient Humans Sleep Through Endless Rain?,BeforeCivilization,"79,601",4201,281,15.0,26:20,159,27,6.4,4,10,90,21.4,47,6,74,17.6,48,5,41,20,5,58,25,0,2_KHO_BANGHI/BeforeCivilization/20260723_How_Did_Ancient_Humans_Sleep_Through_Endless_Rain_.txt
What Did Ancient humans Do If They Were Injured Far From Home?,BeforeCivilization,"6,001",5302,411,12.9,34:48,151,52,9.8,3,10,99,18.7,44,5,124,23.4,82,1,40,33,8,62,48,0,2_KHO_BANGHI/BeforeCivilization/20260724_What_Did_Ancient_humans_Do_If_They_Were_Injured_Far_From_Hom.txt
The Terrifying Sound Every Ancient Human Recognized,BeforeCivilization,"23,808",3948,404,9.8,27:52,141,63,16.0,1,10,152,38.5,28,3,50,12.7,22,2,47,18,16,51,78,0,2_KHO_BANGHI/BeforeCivilization/20260725_The_Terrifying_Sound_Every_Ancient_Human_Recognized.txt
Why Ancient Humans Couldn't Afford to Lose Their Grandparents,BeforeCivilization,"40,948",3933,421,9.3,25:32,153,40,10.2,0,10,69,17.5,24,3,88,22.4,32,1,24,13,15,79,65,0,2_KHO_BANGHI/BeforeCivilization/20260726_Why_Ancient_Humans_Couldn_t_Afford_to_Lose_Their_Grandparent.txt
What Did Ancient Humans Do With People Who Heard Voices?,BeforeCivilization,"5,530",4442,435,10.2,32:00,138,21,4.7,4,7,47,10.6,44,1,55,12.4,59,2,64,21,29,73,74,0,2_KHO_BANGHI/BeforeCivilization/20260727_What_Did_Ancient_Humans_Do_With_People_Who_Heard_Voices_.txt
