tên,ô,view,từ,câu,từ/câu,dài,wpm,chữ nguy hiểm,nguy hiểm /1000 từ,nguy hiểm lần đầu %,khúc có nguy hiểm /10,you,you /1000 từ,we/our,tôi,số liệu,số /1000 từ,tên riêng,từ hiện đại,rào đón,câu dẫn có nhãn,câu hỏi,liên từ đầu câu,câu cụt ≤4 từ,dấu !,nguồn
How Cats Slowly Conquered Humanity,Rune,95,1820,160,11.4,13:14,138,11,6.0,18,6,28,15.4,15,0,28,15.4,19,9,9,5,3,22,25,0,2_KHO_BANGHI/Rune/20260611_How_Cats_Slowly_Conquered_Humanity.txt
Did Ancient Humans Have Favorite Foods?,Rune,"1,765",1250,97,12.9,8:50,142,5,4.0,21,4,33,26.4,1,0,14,11.2,6,0,20,9,2,9,8,0,2_KHO_BANGHI/Rune/20260615_Did_Ancient_Humans_Have_Favorite_Foods_.txt
How Did Ancient Romans Actually Fall in Love?,Rune,153,1637,126,13.0,11:46,139,2,1.2,60,1,8,4.9,3,2,16,9.8,24,0,15,7,0,14,17,0,2_KHO_BANGHI/Rune/20260622_How_Did_Ancient_Romans_Actually_Fall_in_Love_.txt
What It Was Actually Like to Be a Roman Slave,Rune,809,846,54,15.7,5:38,149,3,3.5,22,3,49,57.9,1,4,10,11.8,10,0,10,3,0,5,7,0,2_KHO_BANGHI/Rune/20260626_What_It_Was_Actually_Like_to_Be_a_Roman_Slave.txt
Why Do We Actually Clap Our Hands?,Rune,48,1371,112,12.2,8:18,165,3,2.2,40,3,35,25.5,5,3,14,10.2,19,1,6,7,4,12,17,0,2_KHO_BANGHI/Rune/20260707_Why_Do_We_Actually_Clap_Our_Hands_.txt
How Ancient Humans Became Apex Predators,Rune,64,1556,112,13.9,9:18,166,42,27.0,2,10,21,13.5,30,0,19,12.2,7,0,13,4,1,9,13,0,2_KHO_BANGHI/Rune/20260714_How_Ancient_Humans_Became_Apex_Predators.txt
The Ancient Reason Loneliness Hurts So Much,SimplyAStickman,"1,695",1683,178,9.5,9:41,173,10,5.9,8,3,100,59.4,8,0,33,19.6,8,3,16,8,8,24,39,0,2_KHO_BANGHI/SimplyAStickman/20260505_The_Ancient_Reason_Loneliness_Hurts_So_Much.txt
Why You're Still Tired After Doing Nothing?,SimplyAStickman,417,1398,111,12.6,8:04,172,12,8.6,11,7,85,60.8,4,0,26,18.6,9,8,13,9,5,14,10,0,2_KHO_BANGHI/SimplyAStickman/20260506_Why_You_re_Still_Tired_After_Doing_Nothing_.txt
Why You Can't Stop Eating Even When You're Full? And Food Companies Kn,SimplyAStickman,171,1482,138,10.7,8:13,179,11,7.4,9,6,66,44.5,1,1,48,32.4,4,2,3,5,2,7,26,0,2_KHO_BANGHI/SimplyAStickman/20260507_Why_You_Can_t_Stop_Eating_Even_When_You_re_Full_And_Food_Com.txt
Why Your Best Ideas Only Appear After You Give Up?,SimplyAStickman,295,1481,150,9.9,8:18,178,2,1.4,31,2,67,45.2,2,0,29,19.6,11,1,6,9,2,15,32,0,2_KHO_BANGHI/SimplyAStickman/20260509_Why_Your_Best_Ideas_Only_Appear_After_You_Give_Up_.txt
